25.2	25.2	0
0	0	0
55	34.2	0
73	105	65
15	45	0
55	27	0
35	36	0
70	9	0
35	0	0
100	82.8	55
80	34	53
50	52.2	25
10	0	0
45	46.8	47
45	109	42
90	66.6	75
50	37.8	0
95	100	79
90	61.2	20
20	0	0
40	0	0
50	0	0
65	73.8	47
50	50.4	25
50	0	0
25	54	0
45	77.4	0
75	70.2	44
90	97.2	55
80	66.6	48
35	0	0
70	25.2	39
55	68.4	73
90	109	96
20	0	0
95	25.2	0
60	120	85
65	52.2	42
45	50.4	0
100	120	60
35	43.2	15
70	54	29
80	82.8	63
95	82.8	65
88	52.2	35
50	88.2	10
45	103	35
70	110	38
55	75.6	25
20	0	0
60	43.2	0
60	57.6	57
60	54	33
50	0	0
100	61.2	70
70	52.2	0
70	25.2	25
25	0	0
55	36	0
35	75.6	0
30	50.4	29
52.5	114	40
80	79.2	65
90	36	47
40	73.8	52
10	0	0
80	48.6	49
65	91.8	22
55	68.4	40
85	52.2	40
65	70.2	30
60	100	45
45	27	25
65	41.4	0
87	82.8	53
100	99	72
55	34.2	0
50	61.2	54
80	70.2	59
90	64.8	40
80	103	41
65	59.4	60
60	43.2	59
50	77.4	56
45	114	57
45	0	0
60	52.2	47
30	31	0
75	55.8	25
40	91.8	60
35	61.2	35
	
