70	69.5	66	68.50	96.2	69.23	3.6
40	61	40.5	47.17	94	46.15	2.6
90	60.5	100	83.50	87	76.92	4.1
110	88.5	63	87.17	70	57.69	3.8
82	74	81	79.00	70.85	65.38	3.7
72	80.5	30	60.83	45	65.38	3
77	80	60	72.33	96	61.54	3.6
70	58.5	49.5	59.33	80.57	46.15	2.9
61	60	52.5	57.83	94.75	57.69	3
68	63.5	28.5	53.33	56.85	57.69	2.8
90	79	67.5	78.83	94.37	57.69	3.7
43	67	31.5	47.17	97	53.85	2.7
109	56	57	74.00	72	34.62	3.1
35	79.5	21	45.17	50	57.69	2.5
110	68.5	94.5	91.00	87	69.23	4.2
95	78.5	69	80.83	91.14	42.31	3.5
85	84	69	79.33	87	42.31	3.5
62	73	82.5	72.50	96.95	53.85	3.5
101	53	100	84.67	90.2	57.69	3.9
89	91.5	73.5	84.67	98.6	46.15	3.7
86	71	49.5	68.83	100	65.38	3.6
66	64	37.5	55.83	50	26.92	2.3
110	92.5	100	100.83	100	84.62	5
73	54	19.5	48.83	90	61.54	2.8
70	66	48	61.33	60	42.31	2.8
56	72	90	72.67	92	57.69	3.5
75	70	43.5	62.83	90.04	57.69	3.2
68	53	12	44.33	90	38.46	2.4
101	64.5	91.5	85.67	92	69.23	4.1
87	52	85.5	74.83	90	61.54	3.6
57	63.5	72	64.17	95.4	65.38	3.4
78	82	64.5	74.83	93.83	38.46	3.3
110	55.5	97.5	87.67	98.2	76.92	4.3
71	84	70.5	75.17	78	53.85	3.5
48	48	70.5	55.50	97.58	50.00	2.9
60	50	15	41.67	85.37	57.69	2.5
93	82	100	91.67	99.6	73.08	4.3
86	80	70.5	78.83	70	76.92	3.9
67	68	63	66.00	97.04	50.00	3.2
80	73	90	81.00	99.14	57.69	3.8
65	74	67.5	68.83	94.75	76.92	3.7
74	72	12	52.67	75.71	46.15	2.7
75	77	75	75.67	84	61.54	3.6
75	47.5	50	57.50	83.6	61.54	3.1
55	63.5	85.5	68.00	85.04	65.38	3.5
69	65	61.5	65.17	84	38.46	3
95	58	33	62.00	90	53.85	3.1
97	62	97.5	85.50	30	38.46	3.3
47	53	48	49.33	79.08	65.38	2.9
85	66.5	67.5	73.00	82	42.31	3.2
85	63.5	54	67.50	87	34.62	3
94	23.4	70.5	62.63	78.85	50.00	3
60	45.5	33	46.17	87	53.85	2.6
105	78	27	70.00	99	65.38	3.6
67	74	73.5	71.50	100	69.23	3.7
49	67.5	100	72.17	97.71	34.62	3.2
66	75	90	77.00	91	69.23	3.8
58	74	46.5	59.50	87	61.54	3.1
95	79.5	51	75.17	68.5	57.69	3.5
95	60.5	84	79.83	93	42.31	3.5
77	72	64.5	71.17	98.83	57.69	3.5
						
